id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_kasus,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,9,ORANG,2018
2,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,0,ORANG,2018
3,32,JAWA BARAT,3203,KABUPATEN CIANJUR,153,ORANG,2018
4,32,JAWA BARAT,3204,KABUPATEN BANDUNG,0,ORANG,2018
5,32,JAWA BARAT,3205,KABUPATEN GARUT,1,ORANG,2018
6,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,2,ORANG,2018
7,32,JAWA BARAT,3207,KABUPATEN CIAMIS,2,ORANG,2018
8,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,18,ORANG,2018
9,32,JAWA BARAT,3209,KABUPATEN CIREBON,92,ORANG,2018
10,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,2,ORANG,2018
11,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,0,ORANG,2018
12,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,158,ORANG,2018
13,32,JAWA BARAT,3213,KABUPATEN SUBANG,0,ORANG,2018
14,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,44,ORANG,2018
15,32,JAWA BARAT,3215,KABUPATEN KARAWANG,0,ORANG,2018
16,32,JAWA BARAT,3216,KABUPATEN BEKASI,0,ORANG,2018
17,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,17,ORANG,2018
18,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,0,ORANG,2018
19,32,JAWA BARAT,3271,KOTA BOGOR,102,ORANG,2018
20,32,JAWA BARAT,3272,KOTA SUKABUMI,0,ORANG,2018
21,32,JAWA BARAT,3273,KOTA BANDUNG,51,ORANG,2018
22,32,JAWA BARAT,3274,KOTA CIREBON,62,ORANG,2018
23,32,JAWA BARAT,3275,KOTA BEKASI,42,ORANG,2018
24,32,JAWA BARAT,3276,KOTA DEPOK,450,ORANG,2018
25,32,JAWA BARAT,3277,KOTA CIMAHI,8,ORANG,2018
26,32,JAWA BARAT,3278,KOTA TASIKMALAYA,0,ORANG,2018
27,32,JAWA BARAT,3279,KOTA BANJAR,0,ORANG,2018
28,32,JAWA BARAT,3201,KABUPATEN BOGOR,5,ORANG,2019
29,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,0,ORANG,2019
30,32,JAWA BARAT,3203,KABUPATEN CIANJUR,0,ORANG,2019
31,32,JAWA BARAT,3204,KABUPATEN BANDUNG,0,ORANG,2019
32,32,JAWA BARAT,3205,KABUPATEN GARUT,0,ORANG,2019
33,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,11,ORANG,2019
34,32,JAWA BARAT,3207,KABUPATEN CIAMIS,0,ORANG,2019
35,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,15,ORANG,2019
36,32,JAWA BARAT,3209,KABUPATEN CIREBON,0,ORANG,2019
37,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,0,ORANG,2019
38,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,0,ORANG,2019
39,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,0,ORANG,2019
40,32,JAWA BARAT,3213,KABUPATEN SUBANG,0,ORANG,2019
41,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,14,ORANG,2019
42,32,JAWA BARAT,3215,KABUPATEN KARAWANG,23,ORANG,2019
43,32,JAWA BARAT,3216,KABUPATEN BEKASI,23,ORANG,2019
44,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,0,ORANG,2019
45,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,0,ORANG,2019
46,32,JAWA BARAT,3271,KOTA BOGOR,127,ORANG,2019
47,32,JAWA BARAT,3272,KOTA SUKABUMI,29,ORANG,2019
48,32,JAWA BARAT,3273,KOTA BANDUNG,4,ORANG,2019
49,32,JAWA BARAT,3274,KOTA CIREBON,41,ORANG,2019
50,32,JAWA BARAT,3275,KOTA BEKASI,32,ORANG,2019
