id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_kasus,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,159405,ORANG,2016
2,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,37369,ORANG,2016
3,32,JAWA BARAT,3203,KABUPATEN CIANJUR,41709,ORANG,2016
4,32,JAWA BARAT,3204,KABUPATEN BANDUNG,90337,ORANG,2016
5,32,JAWA BARAT,3205,KABUPATEN GARUT,96111,ORANG,2016
6,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,25629,ORANG,2016
7,32,JAWA BARAT,3207,KABUPATEN CIAMIS,31254,ORANG,2016
8,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,26554,ORANG,2016
9,32,JAWA BARAT,3209,KABUPATEN CIREBON,74674,ORANG,2016
10,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,19976,ORANG,2016
11,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,22718,ORANG,2016
12,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,48287,ORANG,2016
13,32,JAWA BARAT,3213,KABUPATEN SUBANG,25,ORANG,2016
14,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,20625,ORANG,2016
15,32,JAWA BARAT,3215,KABUPATEN KARAWANG,61444,ORANG,2016
16,32,JAWA BARAT,3216,KABUPATEN BEKASI,25251,ORANG,2016
17,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,28045,ORANG,2016
18,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,10074,ORANG,2016
19,32,JAWA BARAT,3271,KOTA BOGOR,25345,ORANG,2016
20,32,JAWA BARAT,3272,KOTA SUKABUMI,12849,ORANG,2016
21,32,JAWA BARAT,3273,KOTA BANDUNG,57425,ORANG,2016
22,32,JAWA BARAT,3274,KOTA CIREBON,19073,ORANG,2016
23,32,JAWA BARAT,3275,KOTA BEKASI,22626,ORANG,2016
24,32,JAWA BARAT,3276,KOTA DEPOK,37690,ORANG,2016
25,32,JAWA BARAT,3277,KOTA CIMAHI,17795,ORANG,2016
26,32,JAWA BARAT,3278,KOTA TASIKMALAYA,16808,ORANG,2016
27,32,JAWA BARAT,3279,KOTA BANJAR,3186,ORANG,2016
28,32,JAWA BARAT,3201,KABUPATEN BOGOR,122301,ORANG,2017
29,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,52505,ORANG,2017
